name,ra,dec,time_x,fluence,redshift
GRB 071227,58.13025,-55.98431,2007-12-27T20:13:47.043260,0.000000505,0.383
GRB 080120,225.26365,-10.87494,2008-01-20T17:28:30,,3.5
GRB 080121,137.245,41.828,2008-01-21T21:29:55.561000,0.000000032,
GRB 080123,338.94308,-64.90089,2008-01-23T04:21:57.402220,1.56E-08,
GRB 080129,105.28417,-7.84619,2008-01-29T06:06:45.464120,0.000000965,4.349
GRB 080130,261.61975,-53.18669,2008-01-30T11:13:02,,
GRB 080205,98.25258,62.79222,2008-02-05T07:55:51.751640,0.00000203,4
GRB 080207,207.51221,7.50219,2008-02-07T21:30:21.441560,,2.0858
GRB 080210,251.26671,13.82664,2008-02-10T07:50:05.435780,0.00000181,2.6419
GRB 080211,43.96208,60.09544,2008-02-11T07:23:40,,
GRB 080212,231.14758,-22.74133,2008-02-12T17:34:33.462080,0.00000305,3.5
GRB 080218A,355.956,12.167,2008-02-18T20:08:42.791800,0.000000619,
GRB 080218B,177.95687,-53.09681,2008-02-18T23:57:47.175420,0.000000497,
